[05/10/2017 23:55:02]: HOTRAN salvo com sucesso em txt.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:56:52]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN salvo com sucesso em txt.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[05/10/2017 23:59:11]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN salvo com sucesso em txt.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:00:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN salvo com sucesso em txt.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:01:38]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:28]: HOTRAN salvo com sucesso em txt.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:29]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN salvo com sucesso em txt.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:02:41]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:47]: HOTRAN salvo com sucesso em txt.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
[06/10/2017 00:06:48]: HOTRAN novo identificado e salvo na database!.
